state_abr,fips,county,square_km,lat,lng
NY,3663,Niagara,"2.951,73",43.456731,-78.792143
NY,3613,Chautauqua,"3.885,46",42.304216,-79.407595
OH,397,Ashtabula,"3.542,85",41.906644,-80.745641
OH,3981,Jefferson,"1.064,36",40.399188,-80.76141
OH,39155,Trumbull,"1.648,70",41.308936,-80.767656
OH,3999,Mahoning,"1.101,49",41.01088,-80.770396
OH,3929,Columbiana,"1.384,84",40.768462,-80.777231
OH,3913,Belmont,"1.401,89",40.017682,-80.967727
OH,39111,Monroe,"1.184,81",39.725969,-81.090658
OH,3919,Carroll,"1.033,23",40.579884,-81.090787
OH,3967,Harrison,"1.063,88",40.292318,-81.091565
OH,3955,Geauga,"1.057,48",41.499322,-81.173505
OH,39133,Portage,"1.305,52",41.16864,-81.196932
OH,39151,Stark,"1.503,57",40.814131,-81.365667
OH,3985,Lake,"2.536,11",41.924116,-81.392643
OH,39121,Noble,"1.047,83",39.767232,-81.452604
OH,39157,Tuscarawas,"1.480,05",40.447441,-81.471157
OH,39167,Washington,"1.657,58",39.450684,-81.490653
OH,3959,Guernsey,"1.368,30",40.056665,-81.497875
OH,39153,Summit,"1.087,94",41.121851,-81.534936
OH,3935,Cuyahoga,"3.226,06",41.760392,-81.724217
OH,39115,Morgan,"1.092,41",39.624946,-81.861699
OH,39169,Wayne,"1.442,15",40.829661,-81.887194
OH,39103,Medina,"1.095,61",41.116051,-81.899566
OH,3975,Holmes,"1.098,10",40.565309,-81.929869
OH,3931,Coshocton,"1.469,77",40.29672,-81.930112
OH,39119,Muskingum,"1.741,98",39.966046,-81.943506
OH,39105,Meigs,"1.121,47",39.089807,-82.028397
OH,399,Athens,"1.316,86",39.333848,-82.046008
OH,3993,Lorain,"2.391,42",41.438805,-82.179722
OH,39127,Perry,"1.068,34",39.743187,-82.237953
OH,395,Ashland,"1.105,40",40.843274,-82.270121
OH,3953,Gallia,"1.220,39",38.817046,-82.301746
OH,3983,Knox,"1.371,74",40.40362,-82.422393
